question,actual_label,model_prediction,difficulty
The effect of an intracerebroventricular injection of metformin or AICAR on the plasma concentrations of melatonin in the ewe: potential involvement of AMPK?,HALLUCINATED,HALLUCINATED.,medium
Literacy after cerebral hemispherectomy: Can the isolated right hemisphere read?,REAL,CORRECT,medium
Characterization of the gender dimorphism after injury and hemorrhagic shock: are hormonal differences responsible?,HALLUCINATED,CORRECT,easy
Can communication with terminally ill patients be taught?,HALLUCINATED,HALLUCINATED,easy
Delays in time to primary treatment after a diagnosis of breast cancer: does it impact survival?,REAL,CORRECT,hard
Are increased carotid artery pulsatility and resistance indexes early signs of vascular abnormalities in young obese males?,HALLUCINATED,CORRECT,medium
Are acceptance rates of a national preventive home visit programme for older people socially imbalanced?,HALLUCINATED,CORRECT,easy
Does open access publishing increase the impact of scientific articles?,HALLUCINATED,CORRECT,medium
In vivo visualization of pyloric mucosal hypertrophy in infants with hypertrophic pyloric stenosis: is there an etiologic role?,REAL,CORRECT,hard
Does the early adopter of drugs exist?,REAL,CORRECT,hard
Does high blood pressure reduce the risk of chronic low back pain?,HALLUCINATED,HALLUCINATED.,hard
Does responsibility affect the public's valuation of health care interventions?,REAL,CORRECT,hard
Nasal fractures:  is closed reduction satisfying?,HALLUCINATED,CORRECT,hard
"Do improvements in outreach, clinical, and family and community-based services predict improvements in child survival?",REAL,CORRECT,medium
Does spontaneous remission occur in polyarteritis nodosa?,REAL,CORRECT,hard
Gluten tolerance in adult patients with celiac disease 20 years after diagnosis?,REAL,CORRECT,hard
Do symptoms predict COPD in smokers?,HALLUCINATED,HALLUCINATED.,hard
Search engine as a diagnostic tool in difficult immunological and allergologic cases: is Google useful?,HALLUCINATED,HALLUCINATED,hard
Uniformity of evidence-based treatments in practice?,REAL,CORRECT,hard
Do approved doctors and medical referees in the UK agree when assessing a seafarer's fitness?,REAL,CORRECT,medium
Hepatorenal syndrome: are we missing some prognostic factors?,HALLUCINATED,HALLUCINATED.,easy
Vaginal dose assessment in image-guided brachytherapy for cervical cancer: Can we really rely on dose-point evaluation?,HALLUCINATED,HALLUCINATED.,hard
Prescriptions as a proxy for asthma in children: a good choice?,REAL,HALLUCINATED,easy
Does the familial transmission of drinking patterns persist into young adulthood?,HALLUCINATED,HALLUCINATED.,easy
Proof of concept study: does fenofibrate have a role in sleep apnoea syndrome?,REAL,CORRECT,medium
Can mental imagery functional magnetic resonance imaging predict recovery in patients with disorders of consciousness?,HALLUCINATED,CORRECT,easy
The nurse cystoscopist: a feasible option?,REAL,CORRECT,medium
Is cardiovascular evaluation necessary prior to and during beta-blocker therapy for infantile hemangiomas?,REAL,CORRECT,medium
Is specialty care associated with improved survival of patients with congestive heart failure?,HALLUCINATED,HALLUCINATED.,medium
Can the prognosis of polymyalgia rheumatica be predicted at disease onset?,HALLUCINATED,HALLUCINATED.,easy
Should ascitis volume and anthropometric measurements be estimated in hospitalized alcoholic cirrotics?,HALLUCINATED,HALLUCINATED.,easy
The use of audit to identify maternal mortality in different settings: is it just a difference between the rich and the poor?,HALLUCINATED,CORRECT,medium
Could the extent of lymphadenectomy be modified by neoadjuvant chemotherapy in cervical cancer?,HALLUCINATED,CORRECT,medium
Do Wound Cultures Give Information About the Microbiology of Blood Cultures in Severe Burn Patients?,REAL,CORRECT,easy
Are behavioural risk factors to be blamed for the conversion from optimal blood pressure to hypertensive status in Black South Africans?,HALLUCINATED,HALLUCINATED.,medium
Systematic use of patient-rated depression severity monitoring: is it helpful and feasible in clinical psychiatry?,REAL,CORRECT,medium
Treadmill training post stroke: are there any secondary benefits?,HALLUCINATED,HALLUCINATED.,easy
Does lunar position influence the time of delivery?,HALLUCINATED,HALLUCINATED.,medium
Is oral endotracheal intubation efficacy impaired in the helicopter environment?,REAL,CORRECT,hard
Prostatic syndrome and pleural effusion: are they different diseases?,REAL,CORRECT,hard
Telemedicine and type 1 diabetes: is technology per se sufficient to improve glycaemic control?,HALLUCINATED,CORRECT,hard
Is controlled ovarian stimulation in intrauterine insemination an acceptable therapy in couples with unexplained non-conception in the perspective of multiple pregnancies?,REAL,CORRECT,easy
Is half-dose contrast-enhanced three-dimensional MR angiography sufficient for the abdominal aorta and pelvis?,HALLUCINATED,CORRECT,hard
Digital Tomosynthesis: A Viable Alternative to Noncontrast Computed Tomography for the Follow-Up of Nephrolithiasis?,HALLUCINATED,HALLUCINATED.,easy
High cumulative insulin exposure: a risk factor of atherosclerosis in type 1 diabetes?,HALLUCINATED,HALLUCINATED.,medium
Are hepatitis G virus and TT virus involved in cryptogenic chronic liver disease?,REAL,CORRECT,hard
Do older patients who refuse to participate in a self-management intervention in the Netherlands differ from older patients who agree to participate?,REAL,CORRECT,hard
Preoperative locoregional staging of gastric cancer: is there a place for magnetic resonance imaging?,HALLUCINATED,CORRECT,medium
Do familiar teammates request and accept more backup?,HALLUCINATED,CORRECT,hard
Transsphenoidal pituitary surgery in Cushing's disease: can we predict outcome?,HALLUCINATED,HALLUCINATED.,medium
Can bedside assessment reliably exclude aspiration following acute stroke?,HALLUCINATED,HALLUCINATED.,easy
Are UK radiologists satisfied with the training and support received in suspected child abuse?,REAL,HALLUCINATED,easy
Artefacts in 24-h pharyngeal and oesophageal pH monitoring: is simplification of pH data analysis feasible?,HALLUCINATED,HALLUCINATED,medium
Can the condition of the cell microenvironment of mediastinal lymph nodes help predict the risk of metastases in non-small cell lung cancer?,HALLUCINATED,HALLUCINATED.,medium
Are wandering and physically nonaggressive agitation equivalent?,REAL,CORRECT,medium
Is size-reducing ascending aortoplasty with external reinforcement an option in modern aortic surgery?,REAL,CORRECT,medium
Does depression diagnosis and antidepressant prescribing vary by location?,HALLUCINATED,HALLUCINATED.,medium
Can routinely collected ambulance data about assaults contribute to reduction in community violence?,REAL,CORRECT,easy
Volume change of uterine myomas during pregnancy: do myomas really grow?,HALLUCINATED,CORRECT,hard
Is laparoscopic adrenalectomy safe and effective for adrenal masses larger than 7 cm?,HALLUCINATED,HALLUCINATED.,easy
Upstream solutions: does the supplemental security income program reduce disability in the elderly?,REAL,CORRECT,hard
Profiling quality of care: Is there a role for peer review?,HALLUCINATED,HALLUCINATED.,easy
Eyelid-parotid metastasis: do we screen for coexisting masses?,REAL,CORRECT,hard
Will CT ordering practices change if we educate residents about the potential effects of radiation exposure?,HALLUCINATED,CORRECT,hard
Does context matter for the relationship between deprivation and all-cause mortality?,HALLUCINATED,HALLUCINATED.,hard
Does stress increase imitation of drinking behavior?,REAL,CORRECT,hard
School food policy at Dutch primary schools: room for improvement?,REAL,CORRECT,hard
Is the atopy patch test with house dust mites specific for atopic dermatitis?,REAL,CORRECT,easy
Juvenile osteochondritis dissecans: is it a growth disturbance of the secondary physis of the epiphysis?,HALLUCINATED,HALLUCINATED.,medium
Do preoperative statins reduce atrial fibrillation after coronary artery bypass grafting?,HALLUCINATED,HALLUCINATED.,easy
Is there a uniform basal endometrial gene expression profile during the implantation window in women who became pregnant in a subsequent ICSI cycle?,HALLUCINATED,HALLUCINATED.,hard
Can decisional algorithms replace global introspection in the individual causality assessment of spontaneously reported ADRs?,HALLUCINATED,CORRECT,medium
Can we rely on arterial line sampling in performing activated plasma thromboplastin time after cardiac surgery?,REAL,HALLUCINATED.,hard
Does timing of initial surfactant treatment make a difference in rates of chronic lung disease or mortality in premature infants?,REAL,CORRECT,easy
Clinician assessment for acute chest syndrome in febrile patients with sickle cell disease: is it accurate enough?,REAL,CORRECT,hard
Outcome Feedback within Emergency Medicine Training Programs: An Opportunity to Apply the Theory of Deliberate Practice?,HALLUCINATED,HALLUCINATED.,easy
Can multiple SNP testing in BRCA2 and BRCA1 female carriers be used to improve risk prediction models in conjunction with clinical assessment?,REAL,CORRECT,medium
Does a special interest in laparoscopy affect the treatment of acute cholecystitis?,REAL,CORRECT,medium
Can progression of valvar aortic stenosis be predicted accurately?,REAL,CORRECT,easy
Does automatic transmission improve driving behavior in older drivers?,REAL,CORRECT,medium
Birth characteristics and risk of low intellectual performance in early adulthood: are the associations confounded by socioeconomic factors in adolescence or familial effects?,HALLUCINATED,HALLUCINATED.,easy
Is scintigraphy a guideline method in determining amputation levels in diabetic foot?,HALLUCINATED,HALLUCINATED.,hard
Is determination between complete and incomplete traumatic spinal cord injury clinically relevant?,REAL,CORRECT,medium
Improvements in survival of gynaecological cancer in the Anglia region of England: are these an effect of centralisation of care and use of multidisciplinary management?,HALLUCINATED,CORRECT,medium
Do symptoms matter when considering patients for phase I clinical trials?,REAL,CORRECT,easy
Is vitamin D insufficiency or deficiency related to the development of osteochondritis dissecans?,HALLUCINATED,HALLUCINATED.,easy
Do episodic migraineurs selectively attend to headache-related visual stimuli?,HALLUCINATED,HALLUCINATED.,medium
Mitral replacement or repair for functional mitral regurgitation in dilated and ischemic cardiomyopathy: is it really the same?,REAL,CORRECT,easy
Do nontriploid partial hydatidiform moles exist?,REAL,HALLUCINATED,hard
Is cholecystectomy really an indication for concomitant splenectomy in mild hereditary spherocytosis?,REAL,CORRECT,easy
Does surgery or radiation therapy impact survival for patients with extrapulmonary small cell cancers?,REAL,CORRECT,easy
MR Diagnosis of Bone Metastases at 1.5 T and 3 T: Can STIR Imaging Be Omitted?,HALLUCINATED,HALLUCINATED,hard
Histologic evaluation of the testicular remnant associated with the vanishing testes syndrome: is surgical management necessary?,REAL,CORRECT,medium
Does pain intensity predict a poor opioid response in cancer patients?,HALLUCINATED,HALLUCINATED.,hard
Do prerecorded lecture VODcasts affect lecture attendance of first-yearpre-clinical Graduate Entry to Medicine students?,REAL,CORRECT,medium
Is there an intrauterine influence on obesity?,HALLUCINATED,HALLUCINATED.,hard
Assessing Patient Reported Outcomes Measures via Phone Interviews Versus Patient Self-Survey in the Clinic: Are We Measuring the Same Thing?,REAL,CORRECT,hard
Is cytokeratin immunoreactivity useful in the diagnosis of short-segment Barrett's oesophagus in Korea?,HALLUCINATED,HALLUCINATED,medium
Is routine dissection of the station 9 lymph nodes really necessary for primary lung cancer?,HALLUCINATED,CORRECT,medium
Cutaneous melanoma in a multiethnic population: is this a different disease?,REAL,CORRECT,hard
"Marital status, living arrangement and mortality: does the association vary by gender?",REAL,CORRECT,hard
Does somatostatin confer insulinostatic effects of neuromedin u in the rat pancreas?,HALLUCINATED,CORRECT,easy
Kell alloimmunization in pregnancy: associated with fetal thrombocytopenia?,REAL,CORRECT,hard
Application of computer-aided diagnosis (CAD) in MR-mammography (MRM): do we really need whole lesion time curve distribution analysis?,REAL,CORRECT,hard
Vaccine protection in the elderly: are Austrian seniors adequately protected by vaccinations?,HALLUCINATED,HALLUCINATED.,hard
Vitamin D supplementation and regulatory T cells in apparently healthy subjects: vitamin D treatment for autoimmune diseases?,REAL,CORRECT,hard
Gynecological cancer alarm symptoms: is contact with specialist care associated with lifestyle and socioeconomic status?,REAL,CORRECT,medium
Does elective re-siting of intravenous cannulae decrease peripheral thrombophlebitis?,REAL,CORRECT,easy
Can third trimester ultrasound predict the presentation of the first twin at delivery?,REAL,CORRECT,medium
Risk factors for major depression during midlife among a community sample of women with and without prior major depression: are they the same or different?,REAL,CORRECT,easy
Totally implantable venous access device placement by interventional radiologists: are prophylactic antibiotics necessary?,REAL,CORRECT,medium
Starting insulin in type 2 diabetes: continue oral hypoglycemic agents?,HALLUCINATED,CORRECT,medium
Clinical identifiers for early-stage primary/idiopathic adhesive capsulitis: are we seeing the real picture?,HALLUCINATED,CORRECT,hard
"Does delaying surgery in immature adolescent idiopathic scoliosis patients with progressive curve, lead to addition of fusion levels?",REAL,CORRECT,easy
Bactericidal activity of 3 cutaneous/mucosal antiseptic solutions in the presence of interfering substances: Improvement of the NF EN 13727 European Standard?,REAL,CORRECT,medium
Empiric treatment of uncomplicated urinary tract infection with fluoroquinolones in older women in Israel: another lost treatment option?,HALLUCINATED,HALLUCINATED.,easy
Do risk calculators accurately predict surgical site occurrences?,REAL,CORRECT,easy
Can EMS Providers Provide Appropriate Tidal Volumes in a Simulated Adult-sized Patient with a Pediatric-sized Bag-Valve-Mask?,REAL,CORRECT,hard
Can students' scores on preclerkship clinical performance examinations predict that they will fail a senior clinical performance examination?,HALLUCINATED,HALLUCINATED.,easy
"Recovery Outcome Measures: Is There a Place for Culture, Attitudes, and Faith?",REAL,CORRECT,medium
Can surgeon familiarization with current evidence lead to a change in practice?,REAL,CORRECT,hard
Advanced epithelial ovarian carcinoma in Thai women: should we continue to offer second-look laparotomy?,HALLUCINATED,HALLUCINATED.,medium
Is high-sensitivity C-reactive protein associated with carotid atherosclerosis in healthy Koreans?,REAL,CORRECT,medium
Validation of the 2009 TNM version in a large multi-institutional cohort of patients treated for renal cell carcinoma: are further improvements needed?,REAL,CORRECT,medium
Are interstitial fluid concentrations of meropenem equivalent to plasma concentrations in critically ill patients receiving continuous renal replacement therapy?,REAL,CORRECT,easy
Does Sensation Return to the Nasal Tip After Microfat Grafting?,REAL,CORRECT,easy
Do older men benefit from curative therapy of localized prostate cancer?,REAL,CORRECT,easy
Pituitary apoplexy: do histological features influence the clinical presentation and outcome?,HALLUCINATED,CORRECT,easy
Do African American women require fewer calories to maintain weight?,REAL,CORRECT,hard
Emergency double-balloon enteroscopy combined with real-time viewing of capsule endoscopy: a feasible combined approach in acute overt-obscure gastrointestinal bleeding?,HALLUCINATED,CORRECT,hard
Cardiopulmonary bypass temperature does not affect postoperative euthyroid sick syndrome?,HALLUCINATED,HALLUCINATED.,easy
Body dysmorphic disorder: does it have a psychotic subtype?,REAL,CORRECT,easy
Does receipt of hospice care in nursing homes improve the management of pain at the end of life?,REAL,CORRECT,easy
Fulfilling human resources development goal in West Africa: can the training of ophthalmologist diplomates be improved?,HALLUCINATED,CORRECT,hard
Does binge drinking during early pregnancy increase the risk of psychomotor deficits?,HALLUCINATED,HALLUCINATED.,hard
Does tranexamic acid reduce desmopressin-induced hyperfibrinolysis?,REAL,CORRECT,medium
Does ultrasound-scored synovitis depend on the pharmacokinetics of subcutaneous anti-TNF agents in patients with rheumatoid arthritis?,HALLUCINATED,HALLUCINATED.,medium
Counter sampling combined with medical provider education: do they alter prescribing behavior?,HALLUCINATED,CORRECT,hard
Global Longitudinal Pathway: has medical education curriculum influenced medical students' skills and attitudes toward culturally diverse populations?,HALLUCINATED,CORRECT,hard
Failed IUD insertions in community practice: an under-recognized problem?,HALLUCINATED,HALLUCINATED.,medium
Type II supracondylar humerus fractures: can some be treated nonoperatively?,HALLUCINATED,HALLUCINATED.,medium
The promise of specialty pharmaceuticals: are they worth the price?,HALLUCINATED,HALLUCINATED.,medium
Does invasive diagnosis of nosocomial pneumonia during off-hours delay treatment?,REAL,CORRECT,easy
Undescended testes: does age at orchiopexy affect survival of the testis?,HALLUCINATED,CORRECT,hard
"Do lipids, blood pressure, diabetes, and smoking confer equal risk of myocardial infarction in women as in men?",REAL,CORRECT,hard
Does family practice at residency teaching sites reflect community practice?,REAL,CORRECT,hard
Midwives' competence: is it affected by working in a rural location?,HALLUCINATED,HALLUCINATED.,easy
The effective orifice area/patient aortic annulus area ratio: a better way to compare different bioprostheses?,REAL,CORRECT,medium
Evaluation of pediatric VCUG at an academic children's hospital: is the radiographic scout image necessary?,REAL,CORRECT,hard
Are endometrial polyps from pre-menopausal women similar to post-menopausal women?,REAL,CORRECT,hard
Does accompanying metabolic syndrome contribute to heart dimensions in hypertensive patients?,HALLUCINATED,CORRECT,hard
The Prevalence of Incidentally Detected Idiopathic Misty Mesentery on Multidetector Computed Tomography: Can Obesity Be the Triggering Cause?,HALLUCINATED,CORRECT,medium
Are pediatric concussion patients compliant with discharge instructions?,HALLUCINATED,HALLUCINATED.,hard
Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,HALLUCINATED,HALLUCINATED,medium
Treatment as prevention in resource-limited settings: is it feasible to maintain HIV viral load suppression over time?,REAL,CORRECT,hard
Are octogenarians at high risk for carotid endarterectomy?,HALLUCINATED,CORRECT,hard
Has the mammography quality standards act affected the mammography quality in North Carolina?,HALLUCINATED,HALLUCINATED.,hard
Do hospitals provide lower quality care on weekends?,REAL,CORRECT,medium
Screening History Among Women with Invasive Cervical Cancer in an Academic Medical Center: Will We Miss Cancers Following Updated Guidelines?,HALLUCINATED,CORRECT,easy
Oral mucocele/ranula: Another human immunodeficiency virus-related salivary gland disease?,HALLUCINATED,HALLUCINATED.,hard
Is there an increase in the incidence of gbs carrier rates among pregnant women in northern Israel?,HALLUCINATED,CORRECT,medium
Does a dedicated discharge coordinator improve the quality of hospital discharge?,REAL,CORRECT,hard
Can dobutamine stress echocardiography induce cardiac troponin elevation?,HALLUCINATED,HALLUCINATED.,hard
Cigarettes and cinema: does parental restriction of R-rated movie viewing reduce adolescent smoking susceptibility?,REAL,CORRECT,hard
Are laboratories reporting serum quantitative hCG results correctly?,REAL,CORRECT,medium
Steroids in aminoglycoside-containing ear drops: do they reduce cochlear toxicity?,REAL,HALLUCINATED,hard
Does having a regular primary care clinician improve quality of preventive care for young children?,REAL,CORRECT,medium
Does performance in selection processes predict performance as a dental student?,REAL,CORRECT,hard
Is it time to reconsider lobectomy in low-risk paediatric thyroid cancer?,HALLUCINATED,HALLUCINATED,easy
Is an advance care planning model feasible in community palliative care?,REAL,CORRECT,medium
Do preoperative serum C-reactive protein levels predict the definitive pathological stage in patients with clinically localized prostate cancer?,REAL,HALLUCINATED,easy
Sub-classification of low-grade cerebellar astrocytoma: is it clinically meaningful?,REAL,CORRECT,medium
After CLASS--Is a voluntary public insurance program a realistic way to meet the long-term support and service needs of adults with disabilities?,HALLUCINATED,CORRECT,hard
Is intraoperative neuromonitoring associated with better functional outcome in patients undergoing open TME?,REAL,CORRECT,hard
Can we predict which head and neck cancer survivors develop fears of recurrence?,REAL,CORRECT,easy
The secular growth acceleration: does it appear during fetal life?,HALLUCINATED,HALLUCINATED.,hard
Does hippocampal atrophy on MRI predict cognitive decline?,REAL,CORRECT,hard
Chemoradiotherapy in the management of locally advanced squamous cell carcinoma esophagus: is surgical resection required?,REAL,HALLUCINATED.,hard
Does quantitative left ventricular regional wall motion change after fibrous tissue resection in endomyocardial fibrosis?,HALLUCINATED,HALLUCINATED.,hard
Bridge experience with long-term implantable left ventricular assist devices. Are they an alternative to transplantation?,REAL,CORRECT,hard
Does occupational nuclear power plant radiation affect conception and pregnancy?,HALLUCINATED,HALLUCINATED.,medium
Lloyd-Davies position with Trendelenburg--a disaster waiting to happen?,REAL,CORRECT,medium
Is patient outcome compromised during the initial experience with robot-assisted radical cystectomy?,REAL,CORRECT,medium
Is the Retromandibular Transparotid Approach a Reliable Option for the Surgical Treatment of Condylar Fractures?,REAL,CORRECT,easy
Appendectomy timing: Will delayed surgery increase the complications?,HALLUCINATED,CORRECT,hard
Treatment of vitamin D deficiency in CKD patients with ergocalciferol: are current K/DOQI treatment guidelines adequate?,HALLUCINATED,HALLUCINATED.,easy
Comparing femoral version after intramedullary nailing performed by trauma-trained and non-trauma trained surgeons: is there a difference?,HALLUCINATED,HALLUCINATED.,easy
Does Viral Co-Infection Influence the Severity of Acute Respiratory Infection in Children?,HALLUCINATED,HALLUCINATED.,medium
Will clinical studies elucidate the connection between the length of storage of transfused red blood cells and clinical outcomes?,REAL,CORRECT,medium
Cardiogenic shock complicating acute myocardial infarction in elderly patients: does admission to a tertiary center improve survival?,HALLUCINATED,HALLUCINATED.,easy
Learning needs of postpartum women: does socioeconomic status matter?,HALLUCINATED,HALLUCINATED.,hard
Pitfalls in urinary stone identification using CT attenuation values: are we getting the same information on different scanner models?,HALLUCINATED,HALLUCINATED,easy
Laminoplasty outcomes: is there a difference between patients with degenerative stenosis and those with ossification of the posterior longitudinal ligament?,REAL,CORRECT,medium
Immunohistochemical assessment of steroid hormone receptors in tissues of the anal canal. Implications for anal incontinence?,REAL,CORRECT,medium
Is acute fibrinous and organizing pneumonia the expression of immune dysregulation?,REAL,CORRECT,easy
Hypotension in patients with coronary disease: can profound hypotensive events cause myocardial ischaemic events?,REAL,CORRECT,hard
An HIV1/2 point of care test on sputum for screening TB/HIV co-infection in Central India - Will it work?,REAL,CORRECT,hard
Do inhaled corticosteroids affect perception of dyspnea during bronchoconstriction in asthma?,HALLUCINATED,HALLUCINATED.,medium
Is routine chest radiography after transbronchial biopsy necessary?,HALLUCINATED,HALLUCINATED.,easy
Is it safe to perform rectal anastomosis in gynaecological debulking surgery without a diverting stoma?,REAL,HALLUCINATED,hard
Does angiotensin-converting enzyme-1 (ACE-1) gene polymorphism lead to chronic kidney disease among hypertensive patients?,REAL,CORRECT,easy
Does laparoscopic antireflux surgery improve quality of life in patients whose gastro-oesophageal reflux disease is well controlled with medical therapy?,HALLUCINATED,HALLUCINATED.,hard
Is semi-closed endarterectomy of the superficial femoral artery combined with a short venous bypass in case of insufficient venous material an acceptable alternative for limb-threatening ischemia?,REAL,CORRECT,medium
Can biofeedback training of psychophysiological responses enhance athletes' sport performance?,REAL,CORRECT,hard
Do cytokines have any role in epilepsy?,HALLUCINATED,CORRECT,hard
Cue-induced behavioural activation: a novel model of alcohol craving?,REAL,CORRECT,easy
Can routine offering of influenza vaccination in office-based settings reduce racial and ethnic disparities in adult influenza vaccination?,REAL,CORRECT,medium
Colorectal cancer in young patients: is it a distinct clinical entity?,REAL,CORRECT,medium
Can implant retention be recommended for treatment of infected TKA?,REAL,CORRECT,easy
Long-term significance of postictal psychotic episodes II. Are they predictive of interictal psychotic episodes?,HALLUCINATED,HALLUCINATED.,easy
Do primary care physicians underprescribe antibiotics for peptic ulcer disease?,REAL,CORRECT,easy
Blunt trauma in intoxicated patients: is computed tomography of the abdomen always necessary?,HALLUCINATED,CORRECT,easy
Chronic progressive cervical myelopathy with HTLV-I infection: Variant form of HAM/TSP?,REAL,CORRECT,medium
Gender difference in survival of resected non-small cell lung cancer: histology-related phenomenon?,REAL,CORRECT,easy
Is lumbar drainage of postoperative cerebrospinal fluid fistula after spine surgery effective?,REAL,CORRECT,easy
Is obesity a risk factor for wheezing among adolescents?,HALLUCINATED,HALLUCINATED.,medium
Dose end-tidal carbon dioxide measurement correlate with arterial carbon dioxide in extremely low birth weight infants in the first week of life?,REAL,CORRECT,easy
Is CA72-4 a useful biomarker in differential diagnosis between ovarian endometrioma and epithelial ovarian cancer?,REAL,CORRECT,hard
Preservation of the PCL when performing cruciate-retaining TKA: Is the tibial tuberosity a reliable predictor of the PCL footprint location?,REAL,CORRECT,hard
The English antibiotic awareness campaigns: did they change the public's knowledge of and attitudes to antibiotic use?,HALLUCINATED,HALLUCINATED.,medium
Does increased nerve length within the treatment volume improve trigeminal neuralgia radiosurgery?,REAL,HALLUCINATED.,easy
Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,HALLUCINATED,CORRECT,hard
Should tumor depth be included in prognostication of soft tissue sarcoma?,HALLUCINATED,HALLUCINATED.,hard
Is amoxapine an atypical antipsychotic?,REAL,CORRECT,medium
Does topical N-acetylcysteine application after myringotomy cause severe otorrhea?,HALLUCINATED,CORRECT,hard
Is non-HDL-cholesterol a better predictor of long-term outcome in patients after acute myocardial infarction compared to LDL-cholesterol?,HALLUCINATED,CORRECT,easy
Is intrapartum vibroacoustic stimulation an effective predictor of fetal acidosis?,REAL,CORRECT,easy
The association of puberty and young adolescent alcohol use: do parents have a moderating role?,HALLUCINATED,HALLUCINATED.,hard
Must early postoperative oral intake be limited to laparoscopy?,REAL,CORRECT,easy
Does loss of consciousness predict neuropsychological decrements after concussion?,HALLUCINATED,HALLUCINATED.,medium
Does body mass index (BMI) influence morbidity and long-term survival in gastric cancer patients after gastrectomy?,HALLUCINATED,HALLUCINATED.,hard
Does patella position influence ligament balancing in total knee arthroplasty?,REAL,CORRECT,easy
Is the advanced age a contraindication to GERD laparoscopic surgery?,REAL,CORRECT,hard
Ultra high risk (UHR) for psychosis criteria: are there different levels of risk for transition to psychosis?,REAL,CORRECT,medium
Has the 80-hour workweek improved surgical resident education in New England?,HALLUCINATED,HALLUCINATED.,hard
Can continuous physical training counteract aging effect on myoelectric fatigue?,REAL,CORRECT,easy
Does ischemic preconditioning require reperfusion before index ischemia?,REAL,CORRECT,easy
Are sports medicine journals relevant and applicable to practitioners and athletes?,REAL,CORRECT,hard
Does head positioning influence anterior chamber depth in pseudoexfoliation syndrome?,REAL,CORRECT,medium
Are polymorphisms in oestrogen receptors genes associated with lipid levels in response to hormone therapy?,REAL,CORRECT,medium
Sternal plating for primary and secondary sternal closure; can it improve sternal stability?,REAL,CORRECT,hard
Can dose reduction to one parotid gland prevent xerostomia?,REAL,CORRECT,easy
Is the histidine triad nucleotide-binding protein 1 (HINT1) gene a candidate for schizophrenia?,HALLUCINATED,HALLUCINATED,easy
Increased neutrophil migratory activity after major trauma: a factor in the etiology of acute respiratory distress syndrome?,REAL,CORRECT,easy
BCRABL transcript detection by quantitative real-time PCR : are correlated results possible from homebrew assays?,HALLUCINATED,CORRECT,hard
Does higher body mass index contribute to worse asthma control in an urban population?,HALLUCINATED,HALLUCINATED.,hard
Does a physician's specialty influence the recording of medication history in patients' case notes?,REAL,CORRECT,medium
Living in an urban environment and non-communicable disease risk in Thailand: Does timing matter?,HALLUCINATED,HALLUCINATED.,hard
Is renal warm ischemia over 30 minutes during laparoscopic partial nephrectomy possible?,HALLUCINATED,CORRECT,easy
Does a febrile reaction to platelets predispose recipients to red blood cell alloimmunization?,HALLUCINATED,CORRECT,hard
Maternal creatine homeostasis is altered during gestation in the spiny mouse: is this a metabolic adaptation to pregnancy?,HALLUCINATED,CORRECT,easy
Pap smears with glandular cell abnormalities: Are they detected by rapid prescreening?,HALLUCINATED,CORRECT,hard
The HELPP syndrome--evidence of a possible systemic inflammatory response in pre-eclampsia?,HALLUCINATED,HALLUCINATED.,hard
Spleen-preserving distal pancreatectomy with resection of the splenic vessels. Should one rely on the short gastric arteries?,HALLUCINATED,CORRECT,easy
Delayed peripheral facial palsy in the stapes surgery: can it be prevented?,HALLUCINATED,HALLUCINATED,medium
Hepatic arterial embolization for unresectable hepatocellular carcinomas: do technical factors affect prognosis?,HALLUCINATED,CORRECT,medium
Are pelvic anatomical structures in danger during arthroscopic acetabular labral repair?,HALLUCINATED,HALLUCINATED.,easy
Staging laparoscopy in patients with hepatocellular carcinoma: is it useful?,REAL,CORRECT,hard
Can echocardiography and ECG discriminate hereditary transthyretin V30M amyloidosis from hypertrophic cardiomyopathy?,HALLUCINATED,HALLUCINATED,medium
Does pediatric housestaff experience influence tests ordered for infants in the neonatal intensive care unit?,HALLUCINATED,CORRECT,medium
Is robotically assisted laparoscopic radical prostatectomy less invasive than retropubic radical prostatectomy?,REAL,HALLUCINATED.,hard
Nasal polyposis: is there an inheritance pattern?,REAL,CORRECT,hard
c-Kit-dependent growth of uveal melanoma cells: a potential therapeutic target?,REAL,CORRECT,easy
Pharmacologic regimens for knee osteoarthritis prevention: can they be cost-effective?,HALLUCINATED,HALLUCINATED.,easy
Is anorectal endosonography valuable in dyschesia?,HALLUCINATED,CORRECT,medium
Production of chemokines by perivascular adipose tissue: a role in the pathogenesis of atherosclerosis?,HALLUCINATED,HALLUCINATED.,easy
Continuity of care experience of residents in an academic vascular department: are trainees learning complete surgical care?,REAL,CORRECT,medium
Household and food shopping environments: do they play a role in socioeconomic inequalities in fruit and vegetable consumption?,HALLUCINATED,HALLUCINATED.,hard
Does birth center care during a woman's first pregnancy have any impact on her future reproduction?,HALLUCINATED,HALLUCINATED.,easy
Are environmental factors important in primary systemic vasculitis?,REAL,CORRECT,easy
Is low serum chloride level a risk factor for cardiovascular mortality?,REAL,CORRECT,hard
Is EQ-5D a valid quality of life instrument in patients with acute coronary syndrome?,REAL,CORRECT,medium
Could Adult European Pharmacoresistant Epilepsy Patients Be Treated With Higher Doses of Zonisamide?,HALLUCINATED,HALLUCINATED.,hard
